# crates/cosmon-rpp-adapter/data/surface_events.txt
#
# Append-only surface event log. Each line is one `surface_added` event:
# a molecule mounted an HTTP route on the RPP and pinned it into the
# §8p frozen surface (ADR-080).
#
# This file is the single source of truth for `frozen_api_surface()` —
# AND, since task-20260610-06a4 (delib-20260610-9a0c K2), for the
# per-route principal, minimal scope, §8p exposure classification, and
# one-line blurb. The parser lives in `crates/cosmon-surface-canon`;
# `cosmon-rpp-adapter/build.rs` and `cosmon-thin-cli/build.rs` fold it
# at compile time into const tables. Counter assertions derive from
# `cargo build`, not from hand-edited numbers.
#
# Discipline (vg-20260523-a682, Phase 1 / Commit 3 — torvalds Option D';
# wheeler I-ADDITIVE-COUNTERS invariant):
#   1. ADD: append a new line at the end. Never reorder.
#   2. NEVER edit an existing line — events are immutable. (Exceptions
#      on record: task-20260610-06a4 performed the one-pass controlled
#      column migration 4 → 7 fields; task-20260610-0b57 flipped the
#      exposure column of the `POST /v1/avatar/converse` line
#      adapter-only → tenant-verb (delib-20260610-9a0c T3 — the verb
#      joined the §8p bijection). In both cases the (METHOD PATH,
#      molecule_id, date) triples were byte-preserved.)
#   3. NEVER renumber, never bump a count — the test reads the file.
#   4. A merge of two branches each appending one event yields two
#      adjacent diff lines and merges cleanly.
#
# Format: METHOD PATH | molecule_id | YYYY-MM-DD | principal | scope | exposure | blurb
#
#   principal ∈ {tenant, operator, worker} — wire-form principal class
#     (mirrors the `#[verb]` annotation on the matching stub).
#   scope — minimal OAuth2 scope required by the route: `-` for
#     authentication-level routes (no scope check), else one or more
#     `cosmon:`-prefixed scopes joined by `+` (AND semantics).
#   exposure ∈ {tenant-verb, adapter-only, operator-only} — the §8p
#     classification. `tenant-verb` routes MUST have a matching
#     `#[verb]` annotation (bijection-tested); `adapter-only` routes
#     intentionally have none; `operator-only` must never appear on
#     the frozen surface (asserted by api_surface_freeze.rs).
#   blurb — one-line human description (drained from the clap
#     doc-comments). Required.
#
# Lines starting with `#` and blank lines are ignored.
# The seven `|`-separated fields are trimmed; `|` is not allowed inside
# any field. The fold REFUSES ambiguous lines (unknown principal or
# exposure, malformed scope, empty blurb) — the build fails.
#
# --- backfilled events (initial migration from the v1.5 const array) ---
GET /v1/molecules | task-20260504-af6b | 2026-05-04 | tenant | cosmon:molecule:read | tenant-verb | List molecules in the caller's noyau (ensemble view)
GET /v1/molecules/{id} | adr-080-v0 | 2026-04-23 | tenant | cosmon:molecule:read | tenant-verb | Read one molecule's full state (observe)
POST /v1/molecules | task-20260504-af6b | 2026-05-04 | tenant | cosmon:molecule:write | tenant-verb | Create a molecule from a formula (nucleate)
POST /v1/molecules/{id}/tags | task-20260504-tcst-v0 | 2026-05-01 | tenant | cosmon:molecule:write | tenant-verb | Add or remove tags on a molecule
POST /v1/molecules/{id}/collapse | task-20260504-af6b | 2026-05-04 | tenant | cosmon:molecule:write | tenant-verb | Collapse a molecule to its terminal state
POST /v1/molecules/{id}/freeze | task-20260522-b538 | 2026-05-22 | tenant | cosmon:molecule:write | tenant-verb | Freeze or thaw a molecule (thaw fused via {state} body)
POST /v1/molecules/{id}/stuck | task-20260504-af6b | 2026-05-04 | tenant | cosmon:molecule:write | tenant-verb | Mark a molecule stuck (needs operator attention)
POST /v1/molecules/{id}/tackle | task-20260512-c6de | 2026-05-12 | tenant | cosmon:molecule:write+cosmon:worker:spawn | tenant-verb | Dispatch a worker against a pending molecule (burns Anthropic credit)
GET /v1/molecules/{id}/artifacts | task-20260522-ef4f | 2026-05-22 | tenant | cosmon:artifact:read | adapter-only | List artifacts produced by a molecule's worker
GET /v1/molecules/{id}/artifacts/{token} | task-20260522-ef4f | 2026-05-22 | tenant | cosmon:artifact:read | adapter-only | Fetch one artifact's bytes
PUT /v1/molecules/{id}/artifacts/{token} | task-20260522-ef4f | 2026-05-22 | tenant | cosmon:artifact:write | adapter-only | Push an artifact into the molecule's artifact dir
POST /v1/auth/claude/start | adr-0017-smithy | 2026-05-19 | tenant | - | adapter-only | Begin the PKCE OAuth flow for Claude credentials
POST /v1/auth/claude/email | adr-0017-smithy | 2026-05-19 | tenant | - | adapter-only | Submit the e-mail step of the PKCE flow
GET /v1/auth/claude/{session_id} | adr-0017-smithy | 2026-05-19 | tenant | - | adapter-only | Poll an in-flight PKCE session
DELETE /v1/auth/claude/{session_id} | adr-0017-smithy | 2026-05-19 | tenant | - | adapter-only | Abort an in-flight PKCE session
POST /v1/auth/claude/confirm | adr-0017-smithy | 2026-05-19 | tenant | - | adapter-only | Confirm the PKCE flow with the pasted code
GET /v1/auth/me | task-20260522-560a | 2026-05-22 | tenant | - | adapter-only | Introspect the presented JWT (whoami)
